Date,Open,High,Low,Close,Adj Close,Volume
2023-04-25,7.076402,7.290139,6.972247,7.271540,7.271540,197437029
2023-04-26,7.271366,7.497907,6.806466,7.004230,7.004230,358341934
2023-04-27,7.004421,7.219644,6.996945,7.170404,7.170404,773383672
2023-04-28,7.170702,7.181178,6.994153,7.050134,7.050134,236637129
2023-04-29,7.049954,7.210641,7.012752,7.187723,7.187723,155603225
2023-04-30,7.187104,7.296246,7.052086,7.052086,7.052086,171483704
2023-05-01,7.050923,7.079497,6.819187,6.901027,6.901027,202483666
2023-05-02,6.901149,7.001067,6.820350,6.986553,6.986553,147462616
2023-05-03,6.986409,7.143795,6.839699,7.123072,7.123072,195763187
2023-05-04,7.123427,7.154839,6.970983,6.997713,6.997713,130913715
2023-05-05,6.997682,7.277870,6.977314,7.235921,7.235921,190358641
2023-05-06,7.235846,7.273570,6.914404,6.943518,6.943518,162574254
2023-05-07,6.943322,6.990842,6.900535,6.909634,6.909634,116709453
2023-05-08,6.909173,6.916244,6.471394,6.591796,6.591796,254538831
2023-05-09,6.591694,6.627127,6.476520,6.524263,6.524263,135768009
2023-05-10,6.524276,6.688794,6.382473,6.595904,6.595904,204285549
2023-05-11,6.595967,6.595967,6.267056,6.366951,6.366951,187932434
2023-05-12,6.367118,6.627095,6.254891,6.621964,6.621964,174685170
2023-05-13,6.622493,6.624627,6.495942,6.500390,6.500390,107475509
2023-05-14,6.500217,6.605604,6.464655,6.543809,6.543809,89462586
2023-05-15,6.544105,6.700586,6.476563,6.638051,6.638051,138944472
2023-05-16,6.637957,6.714998,6.566998,6.659044,6.659044,137961090
2023-05-17,6.658661,6.797799,6.560743,6.753897,6.753897,168939576
2023-05-18,6.753480,6.758719,6.459141,6.534812,6.534812,140449712
2023-05-19,6.535010,6.547083,6.478051,6.508409,6.508409,102133168
2023-05-20,6.508691,6.538308,6.482776,6.512511,6.512511,69018310
2023-05-21,6.512175,6.540746,6.382348,6.429470,6.429470,90814391
2023-05-22,6.428994,6.583351,6.365190,6.529931,6.529931,139651618
2023-05-23,6.530066,6.630727,6.488480,6.508330,6.508330,106788577
2023-05-24,6.508350,6.509244,6.240495,6.327066,6.327066,145479790
2023-05-25,6.327335,6.338847,6.206402,6.279227,6.279227,110856339
2023-05-26,6.279365,6.378976,6.249372,6.352191,6.352191,103191434
2023-05-27,6.351569,6.440200,6.346855,6.440200,6.440200,78479262
2023-05-28,6.440158,6.653573,6.427713,6.638851,6.638851,119525335
2023-05-29,6.638687,6.661598,6.545057,6.640285,6.640285,124828903
2023-05-30,6.639901,6.660111,6.549343,6.613655,6.613655,125036323
2023-05-31,6.613376,6.629204,6.433348,6.480095,6.480095,126487861
2023-06-01,6.480183,6.506303,6.342341,6.346456,6.346456,119523184
2023-06-02,6.346661,6.478119,6.327395,6.456370,6.456370,113702809
2023-06-03,6.456490,6.457749,6.381110,6.416921,6.416921,73090216
2023-06-04,6.416904,6.527440,6.402418,6.456024,6.456024,85885836
2023-06-05,6.455809,6.483293,6.024293,6.065950,6.065950,208202410
2023-06-06,6.065947,6.304471,6.022431,6.260660,6.260660,185444688
2023-06-07,6.260295,6.261897,5.862958,5.914067,5.914067,160767208
2023-06-08,5.913884,6.033216,5.900790,5.995314,5.995314,99184600
2023-06-09,5.995561,6.072210,5.937987,5.986427,5.986427,92158776
2023-06-10,5.986423,5.997458,4.980166,5.241125,5.241125,526078781
2023-06-11,5.240856,5.245556,5.117088,5.173131,5.173131,135111698
2023-06-12,5.173226,5.188609,5.045679,5.163538,5.163538,138650535
2023-06-13,5.163552,5.376275,5.123008,5.293572,5.293572,137509652
2023-06-14,5.293535,5.487329,5.173376,5.242557,5.242557,185859006
2023-06-15,5.242736,5.398789,5.176106,5.306049,5.306049,149056861
2023-06-16,5.306132,5.377122,5.175274,5.319081,5.319081,115615767
2023-06-17,5.319245,5.381583,5.246589,5.283658,5.283658,99730831
2023-06-18,5.283245,5.293397,5.160326,5.161346,5.161346,102460234
2023-06-19,5.161199,5.173816,5.023811,5.119156,5.119156,126273788
2023-06-20,5.119935,5.267869,5.010992,5.263210,5.263210,156987980
2023-06-21,5.263520,5.576784,5.252809,5.563837,5.563837,205902871
2023-06-22,5.563150,5.785705,5.541143,5.568067,5.568067,208397242
2023-06-23,5.567982,6.127711,5.564657,6.059010,6.059010,267367868
2023-06-24,6.059987,6.163796,5.980314,6.136026,6.136026,158040287
2023-06-25,6.136148,6.351617,6.099106,6.150531,6.150531,171279411
2023-06-26,6.150456,6.241481,6.036485,6.066921,6.066921,188779622
2023-06-27,6.066299,6.242962,6.056919,6.198840,6.198840,172477998
2023-06-28,6.199095,6.199192,5.789371,5.821580,5.821580,198238757
2023-06-29,5.821743,6.144046,5.803522,5.901479,5.901479,196418758
2023-06-30,5.900431,6.416556,5.866759,6.308454,6.308454,393934018
2023-07-01,6.308572,6.507081,6.158452,6.497599,6.497599,256361613
2023-07-02,6.497801,6.542821,6.375541,6.530424,6.530424,237259540
2023-07-03,6.530455,6.677140,6.487560,6.620472,6.620472,203177968
2023-07-04,6.620317,6.622889,6.428555,6.526224,6.526224,166595461
2023-07-05,6.526517,6.560704,6.240610,6.304579,6.304579,188222944
2023-07-06,6.304772,6.495441,6.091970,6.091970,6.091970,202108838
2023-07-07,6.092578,6.212542,6.053390,6.154138,6.154138,135071054
2023-07-08,6.154235,6.209586,6.109261,6.193656,6.193656,100745387
2023-07-09,6.193630,6.234524,6.135864,6.148782,6.148782,91096690
2023-07-10,6.148635,6.283438,6.050356,6.168487,6.168487,141129350
2023-07-11,6.168667,6.228000,6.140872,6.204080,6.204080,87991356
2023-07-12,6.204023,6.326198,6.204023,6.249074,6.249074,127951075
2023-07-13,6.249084,7.092254,6.225928,7.092254,7.092254,348983524
2023-07-14,7.091520,7.307502,6.735441,6.944936,6.944936,397701801
2023-07-15,6.946206,7.012141,6.852273,6.915661,6.915661,160863023
2023-07-16,6.915881,6.918648,6.608549,6.616025,6.616025,165245026
2023-07-17,6.616044,7.230268,6.527315,7.191558,7.191558,426365381
2023-07-18,7.191414,7.285622,6.858763,6.923120,6.923120,415484020
2023-07-19,6.922606,7.034389,6.796351,6.917885,6.917885,244366331
2023-07-20,6.917796,8.342902,6.796351,8.342902,8.342902,1340159906
2023-07-21,8.342031,8.382516,8.081622,8.142471,8.142471,590804403
2023-07-22,8.141176,8.250191,7.842011,7.869027,7.869027,393677563
2023-07-23,7.870646,8.062042,7.848306,7.895740,7.895740,226085148
2023-07-24,7.895250,7.895250,7.530030,7.590984,7.590984,318734106
2023-07-25,7.591040,7.633494,7.378265,7.402596,7.402596,211171478
2023-07-26,7.402888,7.815950,7.312085,7.753373,7.753373,344200685
2023-07-27,7.752412,8.078426,7.711304,7.988919,7.988919,358551805
2023-07-28,7.988425,8.060602,7.801050,7.801768,7.801768,202440235
2023-07-29,7.801164,7.874852,7.739382,7.852122,7.852122,139851311
2023-07-30,7.852008,7.853650,7.450923,7.556170,7.556170,191427934
2023-07-31,7.556188,7.682760,7.470114,7.544678,7.544678,207369511
2023-08-01,7.544260,7.628018,7.358786,7.628018,7.628018,232268252
2023-08-02,7.627112,7.697527,7.347322,7.349018,7.349018,256118824
2023-08-03,7.349357,7.393451,7.112917,7.125889,7.125889,211917322
2023-08-04,7.125502,7.239910,7.037035,7.132810,7.132810,195205922
2023-08-05,7.132656,7.225706,7.102012,7.220319,7.220319,131374587
2023-08-06,7.220113,7.252174,7.084694,7.101794,7.101794,132458989
2023-08-07,7.101641,7.349380,6.997304,7.296730,7.296730,221515032
2023-08-08,7.297016,7.503109,7.295584,7.450204,7.450204,261043379
2023-08-09,7.450659,7.862716,7.386916,7.694713,7.694713,630088444
2023-08-10,7.693654,7.705417,7.568157,7.608377,7.608377,207600389
2023-08-11,7.608369,7.626849,7.412113,7.484984,7.484984,137822792
2023-08-12,7.485297,7.523574,7.396253,7.439908,7.439908,114131085
2023-08-13,7.439868,7.541801,7.339325,7.369263,7.369263,149615460
2023-08-14,7.368958,7.601899,7.323840,7.414638,7.414638,211644082
2023-08-15,7.414548,7.418262,6.967970,7.039225,7.039225,269056737
2023-08-16,7.039368,7.057772,6.655512,6.753679,6.753679,269877959
2023-08-17,6.753922,6.852885,5.894550,6.209253,6.209253,430830557
2023-08-18,6.210072,6.269668,6.100881,6.170828,6.170828,253807909
2023-08-19,6.171358,6.254904,6.133236,6.172726,6.172726,144297324
2023-08-20,6.173063,6.227669,6.129395,6.216061,6.216061,114581311
2023-08-21,6.216260,6.243003,6.087780,6.179046,6.179046,184724506
2023-08-22,6.179456,6.238886,5.958381,6.108273,6.108273,202497001
2023-08-23,6.108587,6.420750,6.108587,6.345689,6.345689,195705371
2023-08-24,6.345842,6.360295,6.016817,6.077851,6.077851,161660399
2023-08-25,6.078171,6.081771,5.932309,6.007421,6.007421,161052215
2023-08-26,6.007842,6.033336,5.966025,6.002890,6.002890,99248480
2023-08-27,6.003002,6.035993,5.964556,6.023508,6.023508,88471317
2023-08-28,6.023434,6.023979,5.894220,5.978857,5.978857,146306006
2023-08-29,5.978768,6.289260,5.859785,6.192354,6.192354,228799176
2023-08-30,6.192354,6.196892,5.912936,5.937587,5.937587,145867706
2023-08-31,5.937491,6.051633,5.798702,5.875497,5.875497,184716326
2023-09-01,5.875309,6.022887,5.839464,5.933749,5.933749,175504949
2023-09-02,5.933976,5.988725,5.907683,5.966879,5.966879,90715242
2023-09-03,5.967241,6.051943,5.953656,6.025087,6.025087,103897670
2023-09-04,6.025192,6.143790,5.963782,6.011154,6.011154,134425665
2023-09-05,6.011255,6.144129,5.927572,6.135130,6.135130,130728241
2023-09-06,6.135210,6.309279,6.116004,6.293779,6.293779,189270155
2023-09-07,6.293698,6.446147,6.211489,6.384525,6.384525,151084672
2023-09-08,6.384362,6.388907,6.188880,6.277105,6.277105,112409151
2023-09-09,6.277041,6.281607,6.166739,6.167316,6.167316,72841579
2023-09-10,6.167458,6.168023,5.984661,6.017714,6.017714,133943336
2023-09-11,6.017728,6.026424,5.760215,5.823768,5.823768,170606718
2023-09-12,5.823766,6.037702,5.816457,5.959389,5.959389,145302161
2023-09-13,5.959652,6.047971,5.938476,6.021814,6.021814,136798403
2023-09-14,6.021799,6.203810,6.017995,6.153503,6.153503,135392362
2023-09-15,6.153451,6.363574,6.113073,6.362201,6.362201,122671586
2023-09-16,6.362059,6.406363,6.202713,6.283412,6.283412,104260909
2023-09-17,6.283102,6.283102,6.092554,6.143583,6.143583,91847802
2023-09-18,6.143876,6.803362,6.122247,6.565755,6.565755,344933504
2023-09-19,6.565842,6.932014,6.542952,6.863013,6.863013,246297612
2023-09-20,6.862043,7.008671,6.765099,6.910942,6.910942,219394013
2023-09-21,6.910778,6.926135,6.633869,6.682000,6.682000,185760116
2023-09-22,6.679680,6.953512,6.634862,6.939220,6.939220,165417232
2023-09-23,6.939810,7.211606,6.937978,7.192823,7.192823,262777665
2023-09-24,7.192973,7.236172,6.981841,6.989485,6.989485,166551130
2023-09-25,6.988705,7.495352,6.953981,7.484897,7.484897,262742575
2023-09-26,7.484570,7.549049,7.263106,7.363939,7.363939,210855209
2023-09-27,7.363496,7.823417,7.286083,7.642251,7.642251,364494378
2023-09-28,7.642067,7.999269,7.587074,7.822663,7.822663,339484086
2023-09-29,7.822396,8.044210,7.693887,7.954563,7.954563,238679058
2023-09-30,7.954435,8.246542,7.951024,8.180992,8.180992,267527894
2023-10-01,8.180946,8.236618,7.806715,8.047098,8.047098,292177704
2023-10-02,8.046419,8.077348,7.414810,7.471463,7.471463,368441675
2023-10-03,7.470973,7.711099,7.391943,7.419229,7.419229,283659403
2023-10-04,7.419531,7.741462,7.278673,7.679329,7.679329,297567464
2023-10-05,7.679606,7.767576,7.474691,7.474691,7.474691,201986079
2023-10-06,7.474509,7.737018,7.470313,7.652022,7.652022,172180524
2023-10-07,7.652010,7.674979,7.494784,7.532812,7.532812,139264476
2023-10-08,7.533136,7.894827,7.521255,7.693500,7.693500,236631640
2023-10-09,7.693662,7.693662,7.217802,7.283275,7.283275,259756652
2023-10-10,7.283233,7.369405,7.198162,7.266600,7.266600,178412540
2023-10-11,7.266534,7.413392,7.172319,7.393108,7.393108,205922750
2023-10-12,7.392963,7.403089,7.129769,7.201082,7.201082,181954738
2023-10-13,7.201073,7.366613,7.133206,7.259516,7.259516,196017223
2023-10-14,7.259680,7.359321,7.226113,7.322572,7.322572,96862815
2023-10-15,7.322925,7.530236,7.301858,7.422250,7.422250,147073216
2023-10-16,7.422501,7.736899,7.422501,7.539671,7.539671,261897427
2023-10-17,7.539126,7.550542,7.299336,7.332848,7.332848,164985669
2023-10-18,7.332685,7.470281,7.299077,7.361921,7.361921,150034960
2023-10-19,7.361713,7.420116,7.263082,7.310982,7.310982,143494390
2023-10-20,7.311013,7.686571,7.282461,7.581278,7.581278,216886149
2023-10-21,7.581030,9.125328,7.539376,8.903846,8.903846,802185950
2023-10-22,8.904645,10.166532,8.874205,10.132684,10.132684,1068818174
2023-10-23,10.368068,10.905619,9.835516,10.546122,10.546122,1504664712
2023-10-24,10.545737,11.023964,9.841495,10.394032,10.394032,1070416055
2023-10-25,10.393537,11.610103,10.363657,11.026677,11.026677,1220132695
2023-10-26,11.026560,11.322337,10.446865,10.929611,10.929611,753017604
2023-10-27,10.929754,11.365533,10.663597,11.204941,11.204941,851123699
2023-10-28,11.204375,11.594693,10.879768,10.925374,10.925374,561267315
2023-10-29,10.925807,11.256047,10.813075,11.103345,11.103345,409439965
2023-10-30,11.100871,11.639038,10.934321,11.237470,11.237470,623788293
2023-10-31,11.237018,11.923243,11.047531,11.375027,11.375027,812962667
2023-11-01,11.373188,11.715621,10.739075,11.624006,11.624006,733607053
2023-11-02,11.625427,11.703694,10.897159,11.004576,11.004576,566080359
2023-11-03,11.004994,11.562373,10.637041,11.484773,11.484773,565613053
2023-11-04,11.483939,11.606757,11.215262,11.497036,11.497036,342056656
2023-11-05,11.497302,12.484792,11.401624,12.227702,12.227702,795814450
2023-11-06,12.226931,13.197270,12.171921,13.009284,13.009284,757695242
2023-11-07,13.005667,13.252489,12.597951,13.068293,13.068293,870526793
2023-11-08,13.066696,14.937856,12.910888,14.937856,14.937856,1005098859
2023-11-09,14.937724,15.870618,14.068531,14.635877,14.635877,1596172473
2023-11-10,14.634550,15.591741,14.226294,15.509591,15.509591,1143584462
2023-11-11,15.508254,16.526731,14.812257,16.422510,16.422510,1161712114
2023-11-12,16.424089,16.461443,15.599924,16.001081,16.001081,869502682
2023-11-13,16.003845,16.256441,14.390187,14.407805,14.407805,860588317
2023-11-14,14.405027,14.887003,13.557037,13.968099,13.968099,969166361
2023-11-15,13.969076,15.312111,13.969076,15.017497,15.017497,791466905
2023-11-16,15.019618,15.170624,13.665895,13.888024,13.888024,885340024
2023-11-17,13.888394,14.238205,12.952099,13.684340,13.684340,751633448
2023-11-18,13.687938,13.784718,13.040726,13.748294,13.748294,473907572
2023-11-19,13.749320,15.017291,13.429087,14.939277,14.939277,678152582
2023-11-20,14.938975,15.371984,14.426512,14.465623,14.465623,709689300
2023-11-21,14.467403,14.650262,13.424551,13.531919,13.531919,812724915
2023-11-22,13.513437,14.596335,13.406855,14.236408,14.236408,663443199
2023-11-23,14.232728,14.789417,14.172413,14.402032,14.402032,587203129
2023-11-24,14.402277,14.758119,14.289893,14.460330,14.460330,484485830
2023-11-25,14.460832,14.934153,14.447873,14.756277,14.756277,401143324
2023-11-26,14.757087,15.283395,14.563509,14.789014,14.789014,534766653
2023-11-27,14.787519,15.242313,13.937414,14.201328,14.201328,629034297
2023-11-28,14.200359,14.672588,13.832696,14.519682,14.519682,602325961
2023-11-29,14.519965,14.959171,14.450841,14.511725,14.511725,535989113
2023-11-30,14.512963,14.794313,14.309827,14.404431,14.404431,519218596
2023-12-01,14.404645,15.015858,14.309395,14.983229,14.983229,515864142
2023-12-02,14.982871,16.168455,14.940643,15.994241,15.994241,693342917
2023-12-03,15.993650,16.249325,15.740773,15.742612,15.742612,549786104
2023-12-04,15.741615,16.350550,15.466705,15.764349,15.764349,981896557
2023-12-05,15.769147,16.020592,15.222803,15.720780,15.720780,656438313
2023-12-06,15.721413,16.122791,15.290307,15.290307,15.290307,702626733
2023-12-07,15.292209,15.781215,14.827383,15.712053,15.712053,778907366
2023-12-08,15.711419,17.103321,15.595531,16.942026,16.942026,988810739
2023-12-09,16.938854,17.268324,16.160246,16.218416,16.218416,865532067
2023-12-10,16.221243,16.432838,15.888251,16.333546,16.333546,458733835
2023-12-11,16.338108,16.421165,14.312495,14.765365,14.765365,1146416406
2023-12-12,14.765404,15.114490,14.226644,14.521308,14.521308,604737208
2023-12-13,14.521306,14.915492,13.975856,14.778791,14.778791,643456906
2023-12-14,14.777927,15.512605,14.668207,15.393107,15.393107,716806418
2023-12-15,15.393261,15.393261,14.327272,14.327272,14.327272,489878330
2023-12-16,14.327809,14.762377,14.198896,14.318156,14.318156,369999033
2023-12-17,14.319421,14.344748,13.949809,14.020899,14.020899,336120331
2023-12-18,14.018387,14.649204,13.704801,14.645723,14.645723,691112282
2023-12-19,14.647416,14.779112,13.983527,14.095596,14.095596,412165750
2023-12-20,14.095105,14.781496,14.026621,14.225022,14.225022,446154609
2023-12-21,14.227266,15.286552,14.207581,15.286552,15.286552,612613684
2023-12-22,15.287429,15.669067,15.128263,15.497313,15.497313,598902011
2023-12-23,15.496830,15.869663,14.965623,15.687340,15.687340,560613729
2023-12-24,15.688363,15.918648,15.255575,15.310327,15.310327,571354195
2023-12-25,15.308767,15.702866,15.181658,15.608395,15.608395,459143712
2023-12-26,15.607924,15.853294,14.599259,15.090893,15.090893,590842109
2023-12-27,15.091047,16.672073,14.708951,16.672073,16.672073,795330265
2023-12-28,16.678522,17.543703,16.040953,16.051332,16.051332,1136588734
2023-12-29,16.048738,16.206976,15.256012,15.533926,15.533926,641252306
2023-12-30,15.533537,15.612436,15.080486,15.193248,15.193248,304404383
2023-12-31,15.191149,15.481536,14.901457,14.946123,14.946123,346636245
2024-01-01,14.946928,15.559930,14.874288,15.535809,15.535809,319817917
2024-01-02,15.537648,16.046949,15.118124,15.165293,15.165293,500000291
2024-01-03,15.165781,15.548997,13.309149,14.150558,14.150558,861494361
2024-01-04,14.150727,14.750560,14.032013,14.554019,14.554019,428122958
2024-01-05,14.554086,14.642993,13.857690,14.065112,14.065112,591619366
2024-01-06,14.067513,14.094763,13.267943,13.428382,13.428382,379600087
2024-01-07,13.426658,13.714838,13.057522,13.140297,13.140297,310835368
2024-01-08,13.141215,14.387363,12.648888,14.156994,14.156994,553717423
2024-01-09,14.157729,14.242672,13.395683,13.705976,13.705976,546517541
2024-01-10,13.706121,15.310247,13.595141,15.031819,15.031819,661542902
2024-01-11,15.035154,15.656934,14.633432,15.032686,15.032686,697822804
2024-01-12,15.031191,15.281561,13.765816,14.134305,14.134305,577192494
2024-01-13,14.131389,14.421743,13.853372,14.364035,14.364035,299419280
2024-01-14,14.363695,15.354286,14.301936,14.797092,14.797092,663453857
2024-01-15,14.792352,15.995445,14.776418,15.195074,15.195074,707218360
2024-01-16,15.193633,15.343811,14.789871,15.261762,15.261762,387299706
2024-01-17,15.261658,16.337715,15.261645,15.730317,15.730317,803102010
2024-01-18,15.732048,15.745419,14.249023,14.649993,14.649993,610064426
2024-01-19,14.649869,16.320892,14.486667,16.041307,16.041307,826092587
2024-01-20,16.043941,16.525059,15.686577,15.742375,15.742375,732056419
2024-01-21,15.742951,15.878677,15.391012,15.391012,15.391012,324358693
2024-01-22,15.391611,15.890239,14.520673,14.544948,14.544948,708261898
2024-01-23,14.544541,14.858844,13.594903,14.274681,14.274681,616651164
2024-01-24,14.275462,14.411542,13.927312,14.235134,14.235134,416405212
2024-01-25,14.235353,14.235353,13.533996,13.757712,13.757712,335499608
2024-01-26,13.757756,14.279745,13.648445,14.195535,14.195535,349862980
2024-01-27,14.195386,14.390692,14.103151,14.340298,14.340298,227717439
2024-01-28,14.341546,14.687257,14.234010,14.517562,14.517562,330708266
2024-01-29,14.509693,15.063239,14.299774,14.988256,14.988256,460964052
2024-01-30,14.988559,15.773017,14.913155,15.467368,15.467368,539457495
2024-01-31,15.467272,16.026806,15.107113,15.398607,15.398607,741461692
2024-02-01,15.399762,17.356886,15.167569,17.184246,17.184246,1236597577
2024-02-02,17.183264,18.833101,17.183264,17.791161,17.791161,1568486381
2024-02-03,17.790956,18.096163,17.535744,17.661924,17.661924,650741970
2024-02-04,17.661804,18.620283,17.568169,18.176060,18.176060,702727905
2024-02-05,18.175743,19.684988,17.853174,19.131561,19.131561,1106380674
2024-02-06,19.131905,19.265440,18.292929,18.298014,18.298014,675104330
2024-02-07,18.297543,19.043726,18.102057,18.854925,18.854925,579755784
2024-02-08,18.853783,19.239655,18.063301,18.231304,18.231304,615473559
2024-02-09,18.230295,18.607822,18.082830,18.467882,18.467882,565029386
2024-02-10,18.467752,19.091101,18.049845,19.091101,19.091101,429015962
2024-02-11,19.085882,20.648310,18.881409,20.128960,20.128960,862425647
2024-02-12,20.130297,20.822092,19.815121,20.491962,20.491962,848502024
2024-02-13,20.489805,20.576597,19.606749,19.886284,19.886284,613499013
2024-02-14,19.887087,20.419579,19.745403,20.277943,20.277943,543487979
2024-02-15,20.277700,20.510305,19.707741,19.949381,19.949381,544567670
2024-02-16,19.949089,20.301765,19.276447,19.572353,19.572353,489684939
2024-02-17,19.572495,20.247217,19.303455,20.034607,20.034607,427306998
2024-02-18,20.034363,20.343292,19.806690,20.096508,20.096508,356118168
2024-02-19,20.098555,20.217604,19.698467,19.820606,19.820606,454015884
2024-02-20,19.820360,19.869354,18.706751,19.295195,19.295195,568223480
2024-02-21,19.295189,19.295189,18.048803,18.582254,18.582254,495965298
2024-02-22,18.583708,18.999245,18.090540,18.112953,18.112953,426909233
2024-02-23,18.112076,18.251242,17.666002,17.939098,17.939098,438465711
2024-02-24,17.939093,18.550091,17.794312,18.526360,18.526360,274343168
2024-02-25,18.526796,18.822857,18.390518,18.704636,18.704636,249814543
2024-02-26,18.704109,19.261225,18.174183,19.116257,19.116257,452194269
2024-02-27,19.115616,19.352936,18.776482,19.036427,19.036427,477370753
2024-02-28,19.035030,20.623516,18.488045,19.431786,19.431786,1212477258
2024-02-29,19.434071,20.415945,18.855534,19.287716,19.287716,832935352
2024-03-01,19.284039,20.084227,19.284039,20.060907,20.060907,478178080
2024-03-02,20.061026,21.676811,20.025988,21.421598,21.421598,882798169
2024-03-03,21.421278,21.489763,20.082159,20.513018,20.513018,649140532
2024-03-04,20.512777,20.861111,19.916492,20.448757,20.448757,722955368
2024-03-05,20.449102,20.992367,17.208717,19.010521,19.010521,1277388781
2024-03-06,19.012068,20.145967,18.427454,20.075966,20.075966,709851913
2024-03-07,20.075966,20.339584,19.643040,20.127426,20.127426,534632276
2024-03-08,20.126860,20.390388,19.321224,19.741352,19.741352,590191572
2024-03-09,19.741385,20.343550,19.719904,20.028526,20.028526,414335240
2024-03-10,20.028534,21.943203,19.520350,21.754612,21.754612,696612444
2024-03-11,21.753538,22.825249,20.967533,21.289614,21.289614,1265727284
2024-03-12,21.290363,21.323486,19.749979,20.666775,20.666775,824857503
2024-03-13,20.665733,20.947208,20.261915,20.768188,20.768188,571777047
2024-03-14,20.768911,21.926926,20.013767,20.906294,20.906294,1248029437
2024-03-15,20.905987,20.950907,18.717657,19.193806,19.193806,1452277760
